KS,Zulassungsbezirk,Benzin,Diesel,Gas,Hybrid,Elektro,Sonstige Kraftstoffart,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Sonstige Emissionsgruppe
06432,DARMSTADT-DIEBURG,126730,55177,1851,1915,320,26,2744,13410,15143,51883,50069,48814,906
06433,GROSS-GERAU,121892,49078,1542,1087,293,20,2082,10767,13036,45101,38077,62327,696
06434,HOCHTAUNUSKREIS,106518,56794,1024,1815,473,55,2190,8538,9863,36790,40625,64990,865
06435,MAIN-KINZIG-KREIS,168975,80253,2063,2473,346,50,3519,18015,20503,72811,70681,63850,1182
06436,MAIN-TAUNUS-KREIS,122686,62906,959,1806,317,26,1960,8603,9870,38591,41571,83882,711
06437,ODENWALDKREIS,40942,19456,657,558,97,5,890,4955,5722,17991,16777,14331,281
06438,OFFENBACH,143710,64580,1825,1970,285,42,3277,14505,16295,57648,55482,59355,795
06439,RHEINGAU-TAUNUS-KREIS,81315,36716,1041,917,265,32,1628,7569,9086,33052,34556,31674,665
06440,WETTERAUKREIS,125378,59570,1450,1565,371,28,2715,13029,14919,53379,52240,48518,920
06531,GIESSEN,98164,49854,1659,1228,250,33,1984,10725,12146,44200,41787,37609,512
06532,LAHN-DILL-KREIS,106024,52548,1385,777,213,46,2074,10933,12934,46665,44891,40115,758
06533,LIMBURG-WEILBURG,70951,36990,1133,750,160,29,1334,7347,8602,31588,31375,27868,504
06534,MARBURG-BIEDENKOPF,94440,43759,1307,748,247,22,1617,9368,10665,41197,40559,34614,716
06535,VOGELSBERGKREIS,45826,23929,634,422,74,21,888,5368,6193,21306,20087,15800,285
06611,"KASSEL,STADT",58788,28694,1008,673,168,12,1161,6311,7200,24514,22755,25706,430
06631,FULDA,89562,48119,1153,718,174,36,1693,9716,11408,40993,39910,33845,650
06632,HERSFELD-ROTENBURG,50600,25913,821,228,114,19,941,6103,6513,23978,22239,16698,379
06633,"KASSEL, LAND",101122,43365,1667,748,237,28,1717,10444,10852,40646,41006,40052,654
06634,SCHWALM-EDER-KREIS,77122,37508,1578,508,190,31,1358,8729,9430,34541,32385,28696,566
06635,WALDECK-FRANKENBERG,66731,34530,1273,396,131,20,1442,7320,8246,30241,29374,24351,622
06636,WERRA-MEISSNER-KREIS,40690,20347,739,214,59,13,842,5185,5501,18782,17276,13573,295
13003,"ROSTOCK, STADT",59556,23424,765,594,84,36,655,4694,6295,25018,24807,22132,259
13004,"SCHWERIN, STADT",29948,12891,413,329,54,25,373,2482,3402,13032,12745,11270,155
13071,MECKLENBURGISCHE SEENPLA.,95181,46126,1058,800,81,42,1451,10044,13287,45352,40752,30512,621
13072,ROSTOCK,79025,43169,972,672,94,53,1176,7689,10333,37258,36944,28980,586
13073,VORPOMMERN-RUEGEN,80974,38575,877,726,98,32,1111,7546,10094,36816,35981,28133,459
13074,NORDWESTMECKLENBURG,58180,29387,955,360,70,19,866,5683,7570,27297,26559,19643,427
13075,VORPOMMERN-GREIFSWALD,86065,36635,921,745,73,42,1431,8772,11139,39595,35676,26435,459
13076,LUDWIGSLUST-PARCHIM,80475,44292,1380,479,72,58,1358,8754,11934,41119,36946,24652,670
03101,"BRAUNSCHWEIG,STADT",88319,53084,1471,1493,352,22,1708,8527,8211,33058,34896,53902,2500
03102,"SALZGITTER,STADT",36780,17039,848,233,46,5,730,4384,4778,17002,15028,12259,205
03103,"WOLFSBURG,STADT",86245,48934,704,1283,683,13,1071,3912,3087,14453,17026,95865,1366
03151,GIFHORN,65833,37908,1117,565,118,8,1362,7976,7403,28517,31185,27345,406
03153,GOSLAR,53134,25120,848,375,76,15,979,5532,6090,22612,22935,20223,367
03154,HELMSTEDT,35591,18401,650,225,80,5,865,4363,3882,14343,15857,14708,269
03155,NORTHEIM,58462,26903,922,250,93,24,1312,7065,7198,25549,23236,20470,541
03157,PEINE,55926,24972,1231,344,108,13,1070,7176,6977,25622,22762,17654,361
03158,WOLFENBUETTEL,49895,22510,936,313,100,17,975,5558,5596,21024,21608,17714,405
03159,GÖTTINGEN,121965,56679,1877,1031,248,29,2874,14371,14781,52731,49243,43734,1178
03241,HANNOVER,391434,175161,6920,4034,961,128,8551,44557,46039,165549,150898,153018,2819
03251,DIEPHOLZ,89979,45477,1649,766,215,30,1677,10324,12161,42555,38610,30465,625
03252,HAMELN-PYRMONT,63214,25969,1035,487,125,17,1520,8025,8196,27412,23560,19173,659
03254,HILDESHEIM,110028,46302,1638,839,213,25,2070,12077,12653,47694,44404,37582,644
03255,HOLZMINDEN,30657,13014,581,130,37,9,839,3862,3834,13002,11414,10178,414
03256,NIENBURG(WESER),48566,25677,1093,573,177,17,1049,6999,7307,24238,20613,14498,444
03257,SCHAUMBURG,68606,28931,1300,562,139,20,1568,8959,9031,30267,26570,21041,425
03351,CELLE,69656,36470,1207,444,129,25,1403,9034,9606,31877,29994,24291,534
03352,CUXHAVEN,78598,42547,1903,671,131,24,1361,9569,11462,38231,34771,26384,552
